127.0.0.1 - - [03/Apr/2022:21:43:17 +0900] "GET / HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [03/Apr/2022:21:43:18 +0900] "GET /WEB-INF/views/board/list.jsp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Apr/2022:21:43:31 +0900] "GET /views/board/list HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Apr/2022:21:43:37 +0900] "GET /resources/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:21:43:37 +0900] "GET /board/list HTTP/1.1" 200 35336
0:0:0:0:0:0:0:1 - - [03/Apr/2022:21:43:37 +0900] "GET /resources/vendor/metisMenu/metisMenu.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:21:43:37 +0900] "GET /resources/vendor/datatables-plugins/dataTables.bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:21:43:37 +0900] "GET /resources/vendor/datatables-responsive/dataTables.responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:21:43:37 +0900] "GET /resources/dist/css/sb-admin-2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:21:43:37 +0900] "GET /resources/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:21:43:37 +0900] "GET /resources/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:21:43:37 +0900] "GET /resources/vendor/metisMenu/metisMenu.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:21:43:37 +0900] "GET /resources/vendor/font-awesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:21:43:37 +0900] "GET /resources/vendor/datatables-plugins/dataTables.bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:21:43:37 +0900] "GET /resources/vendor/datatables/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:21:43:37 +0900] "GET /resources/vendor/datatables-responsive/dataTables.responsive.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:21:43:37 +0900] "GET /resources/dist/js/sb-admin-2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:21:43:47 +0900] "GET /board/list HTTP/1.1" 200 35336
0:0:0:0:0:0:0:1 - - [03/Apr/2022:21:43:47 +0900] "GET /resources/vendor/metisMenu/metisMenu.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:21:43:47 +0900] "GET /resources/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:21:43:47 +0900] "GET /resources/vendor/datatables-plugins/dataTables.bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:21:43:47 +0900] "GET /resources/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:21:43:47 +0900] "GET /resources/dist/css/sb-admin-2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:21:43:47 +0900] "GET /resources/vendor/datatables-responsive/dataTables.responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:21:43:47 +0900] "GET /resources/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:21:43:47 +0900] "GET /resources/dist/js/sb-admin-2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:21:43:47 +0900] "GET /resources/vendor/datatables/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:21:43:47 +0900] "GET /resources/vendor/datatables-responsive/dataTables.responsive.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:21:43:47 +0900] "GET /resources/vendor/metisMenu/metisMenu.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:21:43:47 +0900] "GET /resources/vendor/datatables-plugins/dataTables.bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:21:43:47 +0900] "GET /resources/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:21:43:52 +0900] "GET /board/list HTTP/1.1" 200 35336
0:0:0:0:0:0:0:1 - - [03/Apr/2022:21:43:55 +0900] "GET /board/register HTTP/1.1" 200 22223
0:0:0:0:0:0:0:1 - - [03/Apr/2022:21:44:14 +0900] "POST /board/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:21:44:14 +0900] "GET /board/list HTTP/1.1" 200 35631
0:0:0:0:0:0:0:1 - - [03/Apr/2022:22:05:36 +0900] "GET /board/get?bno=1 HTTP/1.1" 200 22428
0:0:0:0:0:0:0:1 - - [03/Apr/2022:23:04:54 +0900] "GET /board/list HTTP/1.1" 200 37906
